"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","34004889","","","","0"
"2011","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","34339328","","","","0"
"2012","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","34714222","","","","0"
"2013","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","35082954","","","","0"
"2014","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","35437435","","","","0"
"2015","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","35702908","","","","0"
"2016","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","36109487","","","","0"
"2017","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","36545236","","","","0"
"2018","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","37065084","","","","0"
"2019","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","37601230","","","","0"
"2020","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","38037204","","","","0"
"2021","Canada","2016A000011124","Both sexes","All ages","Persons","249","units","0","v466668","1.1.1","38246108","","","","0"
"2010","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1871905","","","","0"
"2011","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1899812","","","","0"
"2012","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1917338","","","","0"
"2013","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1924654","","","","0"
"2014","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1927705","","","","0"
"2015","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1928878","","","","0"
"2016","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1942791","","","","0"
"2017","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1941838","","","","0"
"2018","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1940483","","","","0"
"2019","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1932784","","","","0"
"2020","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1919827","","","","0"
"2021","Canada","2016A000011124","Both sexes","0 to 4 years","Persons","249","units","0","v466884","1.1.7","1882571","","","","0"
"2010","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1791169","","","","0"
"2011","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1810914","","","","0"
"2012","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1847505","","","","0"
"2013","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1892730","","","","0"
"2014","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1931039","","","","0"
"2015","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","1969492","","","","0"
"2016","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2003223","","","","0"
"2017","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2021564","","","","0"
"2018","Canada","2016A000011124","Both sexes","5 to 9 years","Persons","249","units","0","v466698","1.1.13","2033313","","","","0"
