"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Both sexes","0 years","Persons","249","units","0","v466719","1.1.2","369322","","","","0"
"2021","Canada","2016A000011124","Both sexes","0 years","Persons","249","units","0","v466719","1.1.2","358001","","","","0"
"2020","Canada","2016A000011124","Both sexes","1 year","Persons","249","units","0","v466752","1.1.3","375439","","","","0"
"2021","Canada","2016A000011124","Both sexes","1 year","Persons","249","units","0","v466752","1.1.3","369839","","","","0"
"2020","Canada","2016A000011124","Both sexes","2 years","Persons","249","units","0","v466785","1.1.4","383730","","","","0"
"2021","Canada","2016A000011124","Both sexes","2 years","Persons","249","units","0","v466785","1.1.4","376639","","","","0"
"2020","Canada","2016A000011124","Both sexes","3 years","Persons","249","units","0","v466818","1.1.5","391530","","","","0"
"2021","Canada","2016A000011124","Both sexes","3 years","Persons","249","units","0","v466818","1.1.5","384943","","","","0"
"2020","Canada","2016A000011124","Both sexes","4 years","Persons","249","units","0","v466851","1.1.6","399806","","","","0"
"2021","Canada","2016A000011124","Both sexes","4 years","Persons","249","units","0","v466851","1.1.6","393149","","","","0"
"2020","Canada","2016A000011124","Both sexes","5 years","Persons","249","units","0","v466917","1.1.8","403711","","","","0"
"2021","Canada","2016A000011124","Both sexes","5 years","Persons","249","units","0","v466917","1.1.8","401780","","","","0"
"2020","Canada","2016A000011124","Both sexes","6 years","Persons","249","units","0","v466950","1.1.9","407109","","","","0"
"2021","Canada","2016A000011124","Both sexes","6 years","Persons","249","units","0","v466950","1.1.9","405924","","","","0"
"2020","Canada","2016A000011124","Both sexes","7 years","Persons","249","units","0","v466671","1.1.10","411064","","","","0"
"2021","Canada","2016A000011124","Both sexes","7 years","Persons","249","units","0","v466671","1.1.10","409133","","","","0"
"2020","Canada","2016A000011124","Both sexes","8 years","Persons","249","units","0","v466692","1.1.11","413056","","","","0"
"2021","Canada","2016A000011124","Both sexes","8 years","Persons","249","units","0","v466692","1.1.11","412801","","","","0"
"2020","Canada","2016A000011124","Both sexes","9 years","Persons","249","units","0","v466695","1.1.12","412426","","","","0"
"2021","Canada","2016A000011124","Both sexes","9 years","Persons","249","units","0","v466695","1.1.12","414599","","","","0"
"2020","Canada","2016A000011124","Both sexes","10 years","Persons","249","units","0","v466701","1.1.14","419852","","","","0"
"2021","Canada","2016A000011124","Both sexes","10 years","Persons","249","units","0","v466701","1.1.14","413767","","","","0"
"2020","Canada","2016A000011124","Both sexes","11 years","Persons","249","units","0","v466704","1.1.15","421547","","","","0"
"2021","Canada","2016A000011124","Both sexes","11 years","Persons","249","units","0","v466704","1.1.15","421108","","","","0"
"2020","Canada","2016A000011124","Both sexes","12 years","Persons","249","units","0","v466707","1.1.16","420942","","","","0"
"2021","Canada","2016A000011124","Both sexes","12 years","Persons","249","units","0","v466707","1.1.16","422512","","","","0"
"2020","Canada","2016A000011124","Both sexes","13 years","Persons","249","units","0","v466710","1.1.17","410775","","","","0"
"2021","Canada","2016A000011124","Both sexes","13 years","Persons","249","units","0","v466710","1.1.17","422010","","","","0"
"2020","Canada","2016A000011124","Both sexes","14 years","Persons","249","units","0","v466713","1.1.18","401424","","","","0"
"2021","Canada","2016A000011124","Both sexes","14 years","Persons","249","units","0","v466713","1.1.18","411879","","","","0"
"2020","Canada","2016A000011124","Both sexes","15 years","Persons","249","units","0","v466722","1.1.20","398963","","","","0"
"2021","Canada","2016A000011124","Both sexes","15 years","Persons","249","units","0","v466722","1.1.20","403021","","","","0"
"2020","Canada","2016A000011124","Both sexes","16 years","Persons","249","units","0","v466725","1.1.21","406106","","","","0"
"2021","Canada","2016A000011124","Both sexes","16 years","Persons","249","units","0","v466725","1.1.21","401286","","","","0"
"2020","Canada","2016A000011124","Both sexes","17 years","Persons","249","units","0","v466728","1.1.22","407846","","","","0"
"2021","Canada","2016A000011124","Both sexes","17 years","Persons","249","units","0","v466728","1.1.22","407779","","","","0"
"2020","Canada","2016A000011124","Both sexes","18 years","Persons","249","units","0","v466731","1.1.23","425936","","","","0"
"2021","Canada","2016A000011124","Both sexes","18 years","Persons","249","units","0","v466731","1.1.23","410966","","","","0"
"2020","Canada","2016A000011124","Both sexes","19 years","Persons","249","units","0","v466734","1.1.24","463551","","","","0"
"2021","Canada","2016A000011124","Both sexes","19 years","Persons","249","units","0","v466734","1.1.24","434397","","","","0"
"2020","Canada","2016A000011124","Both sexes","20 years","Persons","249","units","0","v466740","1.1.26","488430","","","","0"
"2021","Canada","2016A000011124","Both sexes","20 years","Persons","249","units","0","v466740","1.1.26","470424","","","","0"
"2020","Canada","2016A000011124","Both sexes","21 years","Persons","249","units","0","v466743","1.1.27","489112","","","","0"
"2021","Canada","2016A000011124","Both sexes","21 years","Persons","249","units","0","v466743","1.1.27","491766","","","","0"
"2020","Canada","2016A000011124","Both sexes","22 years","Persons","249","units","0","v466746","1.1.28","492203","","","","0"
"2021","Canada","2016A000011124","Both sexes","22 years","Persons","249","units","0","v466746","1.1.28","490395","","","","0"
"2020","Canada","2016A000011124","Both sexes","23 years","Persons","249","units","0","v466749","1.1.29","499955","","","","0"
"2021","Canada","2016A000011124","Both sexes","23 years","Persons","249","units","0","v466749","1.1.29","496148","","","","0"
"2020","Canada","2016A000011124","Both sexes","24 years","Persons","249","units","0","v466755","1.1.30","514613","","","","0"
"2021","Canada","2016A000011124","Both sexes","24 years","Persons","249","units","0","v466755","1.1.30","503968","","","","0"
"2020","Canada","2016A000011124","Both sexes","25 years","Persons","249","units","0","v466761","1.1.32","522426","","","","0"
"2021","Canada","2016A000011124","Both sexes","25 years","Persons","249","units","0","v466761","1.1.32","518580","","","","0"
"2020","Canada","2016A000011124","Both sexes","26 years","Persons","249","units","0","v466764","1.1.33","521155","","","","0"
"2021","Canada","2016A000011124","Both sexes","26 years","Persons","249","units","0","v466764","1.1.33","525947","","","","0"
"2020","Canada","2016A000011124","Both sexes","27 years","Persons","249","units","0","v466767","1.1.34","526732","","","","0"
"2021","Canada","2016A000011124","Both sexes","27 years","Persons","249","units","0","v466767","1.1.34","525289","","","","0"
"2020","Canada","2016A000011124","Both sexes","28 years","Persons","249","units","0","v466770","1.1.35","534010","","","","0"
"2021","Canada","2016A000011124","Both sexes","28 years","Persons","249","units","0","v466770","1.1.35","531493","","","","0"
"2020","Canada","2016A000011124","Both sexes","29 years","Persons","249","units","0","v466773","1.1.36","543390","","","","0"
"2021","Canada","2016A000011124","Both sexes","29 years","Persons","249","units","0","v466773","1.1.36","538801","","","","0"
"2020","Canada","2016A000011124","Both sexes","30 years","Persons","249","units","0","v466779","1.1.38","547650","","","","0"
"2021","Canada","2016A000011124","Both sexes","30 years","Persons","249","units","0","v466779","1.1.38","548622","","","","0"
"2020","Canada","2016A000011124","Both sexes","31 years","Persons","249","units","0","v466782","1.1.39","533918","","","","0"
"2021","Canada","2016A000011124","Both sexes","31 years","Persons","249","units","0","v466782","1.1.39","552815","","","","0"
"2020","Canada","2016A000011124","Both sexes","32 years","Persons","249","units","0","v466788","1.1.40","523083","","","","0"
"2021","Canada","2016A000011124","Both sexes","32 years","Persons","249","units","0","v466788","1.1.40","538598","","","","0"
"2020","Canada","2016A000011124","Both sexes","33 years","Persons","249","units","0","v466791","1.1.41","525198","","","","0"
"2021","Canada","2016A000011124","Both sexes","33 years","Persons","249","units","0","v466791","1.1.41","527929","","","","0"
"2020","Canada","2016A000011124","Both sexes","34 years","Persons","249","units","0","v466794","1.1.42","534637","","","","0"
"2021","Canada","2016A000011124","Both sexes","34 years","Persons","249","units","0","v466794","1.1.42","529824","","","","0"
"2020","Canada","2016A000011124","Both sexes","35 years","Persons","249","units","0","v466800","1.1.44","534003","","","","0"
"2021","Canada","2016A000011124","Both sexes","35 years","Persons","249","units","0","v466800","1.1.44","539006","","","","0"
"2020","Canada","2016A000011124","Both sexes","36 years","Persons","249","units","0","v466803","1.1.45","531447","","","","0"
"2021","Canada","2016A000011124","Both sexes","36 years","Persons","249","units","0","v466803","1.1.45","538083","","","","0"
"2020","Canada","2016A000011124","Both sexes","37 years","Persons","249","units","0","v466806","1.1.46","526884","","","","0"
"2021","Canada","2016A000011124","Both sexes","37 years","Persons","249","units","0","v466806","1.1.46","534901","","","","0"
"2020","Canada","2016A000011124","Both sexes","38 years","Persons","249","units","0","v466809","1.1.47","521648","","","","0"
"2021","Canada","2016A000011124","Both sexes","38 years","Persons","249","units","0","v466809","1.1.47","530130","","","","0"
"2020","Canada","2016A000011124","Both sexes","39 years","Persons","249","units","0","v466812","1.1.48","518405","","","","0"
"2021","Canada","2016A000011124","Both sexes","39 years","Persons","249","units","0","v466812","1.1.48","524527","","","","0"
"2020","Canada","2016A000011124","Both sexes","40 years","Persons","249","units","0","v466821","1.1.50","511487","","","","0"
"2021","Canada","2016A000011124","Both sexes","40 years","Persons","249","units","0","v466821","1.1.50","520927","","","","0"
"2020","Canada","2016A000011124","Both sexes","41 years","Persons","249","units","0","v466824","1.1.51","497500","","","","0"
"2021","Canada","2016A000011124","Both sexes","41 years","Persons","249","units","0","v466824","1.1.51","513575","","","","0"
"2020","Canada","2016A000011124","Both sexes","42 years","Persons","249","units","0","v466827","1.1.52","487657","","","","0"
"2021","Canada","2016A000011124","Both sexes","42 years","Persons","249","units","0","v466827","1.1.52","499466","","","","0"
"2020","Canada","2016A000011124","Both sexes","43 years","Persons","249","units","0","v466830","1.1.53","485359","","","","0"
"2021","Canada","2016A000011124","Both sexes","43 years","Persons","249","units","0","v466830","1.1.53","489069","","","","0"
"2020","Canada","2016A000011124","Both sexes","44 years","Persons","249","units","0","v466833","1.1.54","483571","","","","0"
"2021","Canada","2016A000011124","Both sexes","44 years","Persons","249","units","0","v466833","1.1.54","486627","","","","0"
"2020","Canada","2016A000011124","Both sexes","45 years","Persons","249","units","0","v466839","1.1.56","481476","","","","0"
"2021","Canada","2016A000011124","Both sexes","45 years","Persons","249","units","0","v466839","1.1.56","484345","","","","0"
"2020","Canada","2016A000011124","Both sexes","46 years","Persons","249","units","0","v466842","1.1.57","471558","","","","0"
"2021","Canada","2016A000011124","Both sexes","46 years","Persons","249","units","0","v466842","1.1.57","482033","","","","0"
"2020","Canada","2016A000011124","Both sexes","47 years","Persons","249","units","0","v466845","1.1.58","470204","","","","0"
"2021","Canada","2016A000011124","Both sexes","47 years","Persons","249","units","0","v466845","1.1.58","471702","","","","0"
"2020","Canada","2016A000011124","Both sexes","48 years","Persons","249","units","0","v466848","1.1.59","476382","","","","0"
"2021","Canada","2016A000011124","Both sexes","48 years","Persons","249","units","0","v466848","1.1.59","470321","","","","0"
"2020","Canada","2016A000011124","Both sexes","49 years","Persons","249","units","0","v466854","1.1.60","492745","","","","0"
"2021","Canada","2016A000011124","Both sexes","49 years","Persons","249","units","0","v466854","1.1.60","476072","","","","0"
"2020","Canada","2016A000011124","Both sexes","50 years","Persons","249","units","0","v466860","1.1.62","491720","","","","0"
"2021","Canada","2016A000011124","Both sexes","50 years","Persons","249","units","0","v466860","1.1.62","492175","","","","0"
"2020","Canada","2016A000011124","Both sexes","51 years","Persons","249","units","0","v466863","1.1.63","485081","","","","0"
"2021","Canada","2016A000011124","Both sexes","51 years","Persons","249","units","0","v466863","1.1.63","490913","","","","0"
"2020","Canada","2016A000011124","Both sexes","52 years","Persons","249","units","0","v466866","1.1.64","480719","","","","0"
"2021","Canada","2016A000011124","Both sexes","52 years","Persons","249","units","0","v466866","1.1.64","484203","","","","0"
"2020","Canada","2016A000011124","Both sexes","53 years","Persons","249","units","0","v466869","1.1.65","484782","","","","0"
"2021","Canada","2016A000011124","Both sexes","53 years","Persons","249","units","0","v466869","1.1.65","479644","","","","0"
"2020","Canada","2016A000011124","Both sexes","54 years","Persons","249","units","0","v466872","1.1.66","509977","","","","0"
"2021","Canada","2016A000011124","Both sexes","54 years","Persons","249","units","0","v466872","1.1.66","483399","","","","0"
"2020","Canada","2016A000011124","Both sexes","55 years","Persons","249","units","0","v466878","1.1.68","541458","","","","0"
"2021","Canada","2016A000011124","Both sexes","55 years","Persons","249","units","0","v466878","1.1.68","508334","","","","0"
"2020","Canada","2016A000011124","Both sexes","56 years","Persons","249","units","0","v466881","1.1.69","556111","","","","0"
"2021","Canada","2016A000011124","Both sexes","56 years","Persons","249","units","0","v466881","1.1.69","539656","","","","0"
"2020","Canada","2016A000011124","Both sexes","57 years","Persons","249","units","0","v466887","1.1.70","558606","","","","0"
"2021","Canada","2016A000011124","Both sexes","57 years","Persons","249","units","0","v466887","1.1.70","553972","","","","0"
"2020","Canada","2016A000011124","Both sexes","58 years","Persons","249","units","0","v466890","1.1.71","544505","","","","0"
"2021","Canada","2016A000011124","Both sexes","58 years","Persons","249","units","0","v466890","1.1.71","556245","","","","0"
"2020","Canada","2016A000011124","Both sexes","59 years","Persons","249","units","0","v466893","1.1.72","546093","","","","0"
"2021","Canada","2016A000011124","Both sexes","59 years","Persons","249","units","0","v466893","1.1.72","541974","","","","0"
"2020","Canada","2016A000011124","Both sexes","60 years","Persons","249","units","0","v466899","1.1.74","537046","","","","0"
"2021","Canada","2016A000011124","Both sexes","60 years","Persons","249","units","0","v466899","1.1.74","543220","","","","0"
