year,weeks_year
1974,52
1975,53
1976,52
1977,52
1978,52
1979,52
1980,53
1981,52
1982,52
1983,52
1984,52
1985,52
1986,53
1987,52
1988,52
1989,52
1990,52
1991,52
1992,53
1993,52
1994,52
1995,52
1996,52
1997,53
1998,52
1999,52
2000,52
2001,52
2002,52
2003,53
2004,52
2005,52
2006,52
2007,52
2008,53
2009,52
2010,52
2011,52
2012,52
2013,52
2014,53
2015,52
2016,52
2017,52
2018,52
2019,52
2020,53
2021,52
2022,52
2023,52
2024,52
2025,53
2026,52
2027,52
2028,52
2029,52
2030,52
2031,53
2032,52
2033,52
2034,52
2035,52
2036,53
2037,52
2038,52
2039,52
2040,52
