"Date de décès","0-9 ans","10-19 ans","20-29 ans","30-39 ans","40-49 ans","50-59 ans","60-69 ans","70-79 ans","80-89 ans","90 ans et plus"
"2020-03-15 00:00:00",0,0,0,0,0,0,0,0,0,0
"2020-03-16 00:00:00",0,0,0,0,0,0,0,0,1,0
"2020-03-17 00:00:00",0,0,0,0,0,0,0,0,1,0
"2020-03-18 00:00:00",0,0,0,0,0,0,0,0,1,0
"2020-03-19 00:00:00",0,0,0,0,0,0,0,0,1,0
"2020-03-20 00:00:00",0,0,0,0,0,0,0,0,0,0
"2020-03-21 00:00:00",0,0,0,0,0,0,0,0,1,0
"2020-03-22 00:00:00",0,0,0,0,0,0,0,0,0,0
"2020-03-23 00:00:00",0,0,0,0,0,0,0,0,3,0
"2020-03-24 00:00:00",0,0,0,0,0,0,0,1,1,0
"2020-03-25 00:00:00",0,0,0,0,0,0,0,1,5,2
"2020-03-26 00:00:00",0,0,0,0,0,0,2,4,3,0
"2020-03-27 00:00:00",0,0,0,0,0,0,0,0,3,0
"2020-03-28 00:00:00",0,0,0,0,0,0,0,5,5,4
"2020-03-29 00:00:00",0,0,0,0,0,0,3,1,5,1
"2020-03-30 00:00:00",0,0,0,0,0,1,1,4,4,3
"2020-03-31 00:00:00",0,0,0,0,0,0,3,3,7,3
"2020-04-01 00:00:00",0,0,0,0,0,1,1,5,6,3
"2020-04-02 00:00:00",0,0,0,1,0,1,0,5,7,8
"2020-04-03 00:00:00",0,0,0,0,0,0,2,7,16,13
"2020-04-04 00:00:00",0,0,0,0,0,1,2,6,28,7
"2020-04-05 00:00:00",0,0,0,0,0,0,5,7,24,12
"2020-04-06 00:00:00",0,0,0,0,0,0,4,13,21,13
"2020-04-07 00:00:00",0,0,0,0,1,0,7,11,24,14
"2020-04-08 00:00:00",0,0,0,0,1,0,0,17,21,19
"2020-04-09 00:00:00",0,0,0,0,1,0,3,13,36,14
"2020-04-10 00:00:00",0,0,0,0,0,1,3,13,22,29
