Date,Public Health Unit,Cases by episode date,7 day rolling average: Cases by episode date,Cases rate by episode date,Cases by reported date,7 day rolling average: Cases by reported date,Cases rate by reported date,Hospitalizations by episode date,Hospitalizations rate by episode date,Hospitalizations by reported date,Hospalizations rate by reported date,Deaths,Deaths rate
"January 15, 2020",Ontario,0,-,0,0,-,0,0,0,0,0,0,0
"January 16, 2020",Ontario,1,-,0,0,-,0,0,0,0,0,0,0
"January 17, 2020",Ontario,0,-,0,0,-,0,0,0,0,0,0,0
"January 18, 2020",Ontario,0,-,0,0,-,0,0,0,0,0,0,0
"January 19, 2020",Ontario,0,-,0,0,-,0,0,0,0,0,0,0
"January 20, 2020",Ontario,0,-,0,0,-,0,0,0,0,0,0,0
"January 21, 2020",Ontario,1,-,0,0,-,0,1,0,0,0,0,0
"January 22, 2020",Ontario,2,0,0,0,0,0,0,0,0,0,0,0
"January 23, 2020",Ontario,0,1,0,2,0,0,0,0,1,0,0,0
"January 24, 2020",Ontario,1,0,0,1,0,0,0,0,0,0,0,0
"January 25, 2020",Ontario,1,1,0,0,0,0,0,0,0,0,0,0
"January 26, 2020",Ontario,0,1,0,0,0,0,0,0,0,0,0,0
"January 27, 2020",Ontario,1,1,0,0,0,0,0,0,0,0,0,0
"January 28, 2020",Ontario,0,1,0,0,0,0,0,0,0,0,0,0
"January 29, 2020",Ontario,1,1,0,0,0,0,0,0,0,0,0,0
"January 30, 2020",Ontario,0,1,0,0,0,0,0,0,0,0,0,0
"January 31, 2020",Ontario,1,1,0,0,0,0,0,0,0,0,0,0
"February 1, 2020",Ontario,1,1,0,0,0,0,0,0,0,0,0,0
"February 2, 2020",Ontario,1,1,0,0,0,0,0,0,0,0,0,0
"February 3, 2020",Ontario,0,1,0,0,0,0,0,0,0,0,0,0
"February 4, 2020",Ontario,0,1,0,0,0,0,0,0,0,0,0,0
"February 5, 2020",Ontario,1,1,0,0,0,0,0,0,0,0,0,0
"February 6, 2020",Ontario,0,1,0,0,0,0,0,0,0,0,0,0
"February 7, 2020",Ontario,0,1,0,0,0,0,0,0,0,0,0,0
"February 8, 2020",Ontario,0,0,0,0,0,0,0,0,0,0,0,0
"February 9, 2020",Ontario,0,0,0,0,0,0,0,0,0,0,0,0
"February 10, 2020",Ontario,2,0,0,0,0,0,0,0,0,0,0,0
"February 11, 2020",Ontario,0,0,0,0,0,0,0,0,0,0,0,0
"February 12, 2020",Ontario,0,0,0,0,0,0,0,0,0,0,0,0
"February 13, 2020",Ontario,0,0,0,0,0,0,0,0,0,0,0,0
"February 14, 2020",Ontario,2,0,0,0,0,0,0,0,0,0,0,0
"February 15, 2020",Ontario,1,1,0,0,0,0,0,0,0,0,0,0
"February 16, 2020",Ontario,1,1,0,0,0,0,0,0,0,0,0,0
"February 17, 2020",Ontario,2,1,0,0,0,0,0,0,0,0,0,0
"February 18, 2020",Ontario,0,1,0,0,0,0,0,0,0,0,0,0
"February 19, 2020",Ontario,1,1,0,0,0,0,0,0,0,0,0,0
"February 20, 2020",Ontario,5,1,0,0,0,0,0,0,0,0,0,0
"February 21, 2020",Ontario,1,2,0,1,0,0,1,0,0,0,0,0
"February 22, 2020",Ontario,5,2,0,0,0,0,1,0,0,0,0,0
"February 23, 2020",Ontario,5,2,0,0,0,0,2,0,0,0,0,0
"February 24, 2020",Ontario,4,3,0,0,0,0,0,0,0,0,0,0
"February 25, 2020",Ontario,3,3,0,1,0,0,1,0,0,0,0,0
"February 26, 2020",Ontario,2,4,0,1,0,0,0,0,0,0,0,0
"February 27, 2020",Ontario,2,4,0,2,0,0,0,0,0,0,0,0
"February 28, 2020",Ontario,5,4,0,5,1,0,1,0,0,0,0,0
"February 29, 2020",Ontario,5,4,0,4,1,0,1,0,1,0,0,0
"March 1, 2020",Ontario,23,4,0.2,2,2,0,6,0,0,0,0,0
"March 2, 2020",Ontario,16,7,0.1,0,2,0,1,0,0,0,0,0
"March 3, 2020",Ontario,13,9,0.1,2,2,0,1,0,0,0,0,0
"March 4, 2020",Ontario,13,11,0.1,1,3,0,3,0,1,0,0,0
"March 5, 2020",Ontario,27,13,0.2,4,3,0,6,0,1,0,0,0
"March 6, 2020",Ontario,34,17,0.2,3,3,0,8,0.1,2,0,0,0
"March 7, 2020",Ontario,32,21,0.2,3,3,0,4,0,0,0,0,0
"March 8, 2020",Ontario,53,26,0.4,5,2,0,6,0,1,0,0,0
"March 9, 2020",Ontario,68,31,0.5,6,3,0,13,0.1,0,0,0,0
"March 10, 2020",Ontario,103,39,0.7,9,4,0.1,27,0.2,0,0,0,0
"March 11, 2020",Ontario,104,54,0.7,23,5,0.2,21,0.1,1,0,1,0
"March 12, 2020",Ontario,131,69,0.9,37,9,0.3,17,0.1,4,0,0,0
"March 13, 2020",Ontario,154,86,1,36,14,0.2,31,0.2,5,0,0,0
"March 14, 2020",Ontario,147,105,1,32,19,0.2,28,0.2,5,0,0,0
"March 15, 2020",Ontario,193,124,1.3,36,24,0.2,38,0.3,5,0,0,0
"March 16, 2020",Ontario,268,147,1.8,53,29,0.4,46,0.3,11,0.1,0,0
"March 17, 2020",Ontario,274,180,1.9,59,37,0.4,43,0.3,11,0.1,0,0
"March 18, 2020",Ontario,274,208,1.9,59,45,0.4,55,0.4,10,0.1,0,0
"March 19, 2020",Ontario,263,235,1.8,69,51,0.5,61,0.4,9,0.1,0,0
"March 20, 2020",Ontario,354,257,2.4,99,56,0.7,84,0.6,9,0.1,0,0
"March 21, 2020",Ontario,278,289,1.9,72,66,0.5,65,0.4,21,0.1,1,0
"March 22, 2020",Ontario,275,311,1.9,87,73,0.6,60,0.4,18,0.1,2,0
